,Timestamp,FIC-400B/BLOCK1/OUT.CV %,FIC-400B/PID1/OUT.CV %,FIC-400B/PID1/PV.CV GPM,FIC-400B/PID1/SP.CV GPM,FIC-400C/BLOCK1/OUT.CV %,FIC-400C/PID1/OUT.CV %,FIC-400C/PID1/PV.CV GPM,FIC-400C/PID1/SP.CV GPM,FIT-400A-M/AI1/OUT.CV lb/min,FIT-400A/AI1/OUT.CV gal/min,FIT-400B/AI1/OUT.CV gal/min,FIT-400C/AI1/OUT.CV GPM,FIT-400D/AI1/OUT.CV GPM,FSC-400A/PID1/OUT.CV %,FSC-400A/PID1/PV.CV GPM,FSC-400A/PID1/SP.CV GPM,FSC-400A/SCLR2_RPM/OUT.CV RPM,LIC-400A/PID1/GAIN.CV No EngUnits,LIC-400A/PID1/OUT.CV %,LIC-400A/PID1/PV.CV inH2O,LIC-400A/PID1/RATE.CV No EngUnits,LIC-400A/PID1/RESET.CV No EngUnits,LIC-400A/PID1/SP.CV inH2O,LIT-400A/AI1/OUT.CV inH2O,LIT-400B/AI1/OUT.CV inH2O,LIT-400C/AI1/OUT.CV inH2O,LSH-400A/DI1/PV_D.CV No EngUnits,LSL-400A/DI1/PV_D.CV No EngUnits,PIT-400A/AI1/OUT.CV psig,PIT-400B/AI1/OUT.CV psig,PIT-400C/AI1/OUT.CV psig,PIT-400D/AI1/OUT.CV psig,SIT-400A/AI1/OUT.CV W,TE-400A/AI1/OUT.CV Â°C,TE-400B/AI1/OUT.CV Â°C
1172,2025-04-30 15:04:32-04:00,0,10,0.6950294971466064,0.078851119,0,0,-0.001425644,0.006942976,0,0.005393232,0.004773334,0.001673845,-0.003285335,100,0.7164159417152405,0.060874078,3500,0.5,0.00095462,20.41733741760254,0,10,20.41733741760254,20.386436462402344,19.43143844604492,20.457019805908203,0,0,1.3371973037719729,35.13446044921875,-0.823813558,31.934911727905277,391.1344909667969,22.63793945,25.730133056640625
1173,2025-04-30 15:04:33-04:00,0,10,0.6950294971466064,0.078851119,0,0,-0.001425644,0.006942976,0,0.005393232,0.004773334,0.001673845,-0.003285335,100,0.7164159417152405,0.060874078,3500,0.5,0.00095462,20.41733741760254,0,10,20.41733741760254,20.386436462402344,19.43143844604492,20.457019805908203,0,0,1.3371973037719729,35.13446044921875,-0.823813558,31.934911727905277,386.6903076171875,22.63793945,25.87432861328125
1174,2025-04-30 15:04:34-04:00,0,10,0.6950294971466064,0.078851119,0,0,-0.001425644,0.006942976,0,0.005393232,0.004773334,0.001673845,-0.003285335,100,0.7164159417152405,0.060874078,3500,0.5,0.00095462,20.41733741760254,0,10,20.41733741760254,20.386436462402344,19.43143844604492,20.457019805908203,0,0,1.3371973037719729,35.13446044921875,-0.805455744,31.934911727905277,386.6903076171875,22.87826538085937,25.87432861328125
1175,2025-04-30 15:04:35-04:00,0,10,0.6950294971466064,0.078851119,0,0,-0.001425644,0.006942976,0,0.005393232,0.004773334,0.001673845,-0.003285335,100,0.7164159417152405,0.060874078,3500,0.5,0.00095462,20.41733741760254,0,10,20.41733741760254,20.386436462402344,19.43143844604492,20.457019805908203,0,0,1.3371973037719729,35.13446044921875,-0.805455744,31.949331283569336,386.6903076171875,22.87826538085937,25.87432861328125
1176,2025-04-30 15:04:36-04:00,0,0,0.6950294971466064,0.078851119,0,0,-0.001425644,0.006942976,0,0.005393232,0.004773334,0.001673845,-0.003285335,100,0.7164159417152405,0.060874078,3500,0.5,0.00095462,20.41733741760254,0,10,20.41733741760254,20.386436462402344,19.43143844604492,20.457019805908203,0,0,1.3371973037719729,35.13446044921875,-0.805455744,31.949331283569336,386.6903076171875,22.87826538085937,25.87432861328125
1177,2025-04-30 15:04:37-04:00,0,0,0.6950294971466064,0.078851119,0,0,-0.001425644,0.006942976,0,0.005393232,0.004773334,0.001673845,-0.003285335,100,0.7164159417152405,0.060874078,3500,0.5,0.00095462,20.41733741760254,0,10,20.41733741760254,20.404556274414062,19.458141326904297,20.457019805908203,0,0,1.3371973037719729,35.13446044921875,-0.805455744,31.949331283569336,386.6903076171875,22.87826538085937,25.87432861328125
1178,2025-04-30 15:04:38-04:00,0,0,0.6950294971466064,0.078851119,0,0,-0.001425644,0.006942976,0,0.005393232,0.004773334,0.001673845,-0.003285335,100,0.7164159417152405,0.060874078,3500,0.5,0.00095462,20.41733741760254,0,10,20.41733741760254,20.404556274414062,19.458141326904297,20.457019805908203,0,0,1.3371973037719729,35.13446044921875,-0.825125277,31.949331283569336,386.1753234863281,22.87826538085937,25.87432861328125
1179,2025-04-30 15:04:39-04:00,0,0,0.6950294971466064,0.078851119,0,0,-0.001425644,0.006942976,0,0.005393232,0.004773334,0.001673845,-0.003285335,100,0.7164159417152405,0.060874078,3500,0.5,0.00095462,20.41733741760254,0,10,20.41733741760254,20.404556274414062,19.458141326904297,20.457019805908203,0,0,1.3371973037719729,35.25772857666016,-0.825125277,32.05948257446289,386.1753234863281,22.87826538085937,25.87432861328125
1180,2025-04-30 15:04:40-04:00,0,0,0.6950294971466064,0.078851119,0,0,-0.001425644,0.006942976,0,0.005393232,0.004773334,0.001673845,-0.003285335,100,0.7164159417152405,0.060874078,3500,0.5,0.00095462,20.41733741760254,0,10,20.41733741760254,20.404556274414062,19.458141326904297,20.457019805908203,0,0,1.3371973037719729,35.25772857666016,-0.825125277,32.05948257446289,386.1753234863281,22.87826538085937,25.87432861328125
1181,2025-04-30 15:04:41-04:00,0,0,0.6950294971466064,0.078851119,0,0,-0.001425644,0.006942976,0,0.005393232,0.004773334,0.001673845,-0.003285335,100,0.7164159417152405,0.060874078,3500,0.5,0.00095462,20.41733741760254,0,10,20.41733741760254,20.404556274414062,19.458141326904297,20.457019805908203,0,0,1.3371973037719729,35.25772857666016,-0.825125277,32.05948257446289,386.1753234863281,22.87826538085937,25.87432861328125
