,Timestamp,FIC-400B/BLOCK1/OUT.CV %,FIC-400B/PID1/OUT.CV %,FIC-400B/PID1/PV.CV GPM,FIC-400B/PID1/SP.CV GPM,FIC-400C/BLOCK1/OUT.CV %,FIC-400C/PID1/OUT.CV %,FIC-400C/PID1/PV.CV GPM,FIC-400C/PID1/SP.CV GPM,FIT-400A-M/AI1/OUT.CV lb/min,FIT-400A/AI1/OUT.CV gal/min,FIT-400B/AI1/OUT.CV gal/min,FIT-400C/AI1/OUT.CV GPM,FIT-400D/AI1/OUT.CV GPM,FSC-400A/PID1/OUT.CV %,FSC-400A/PID1/PV.CV GPM,FSC-400A/PID1/SP.CV GPM,FSC-400A/SCLR2_RPM/OUT.CV RPM,LIC-400A/PID1/GAIN.CV No EngUnits,LIC-400A/PID1/OUT.CV %,LIC-400A/PID1/PV.CV inH2O,LIC-400A/PID1/RATE.CV No EngUnits,LIC-400A/PID1/RESET.CV No EngUnits,LIC-400A/PID1/SP.CV inH2O,LIT-400A/AI1/OUT.CV inH2O,LIT-400B/AI1/OUT.CV inH2O,LIT-400C/AI1/OUT.CV inH2O,LSH-400A/DI1/PV_D.CV No EngUnits,LSL-400A/DI1/PV_D.CV No EngUnits,PIT-400A/AI1/OUT.CV psig,PIT-400B/AI1/OUT.CV psig,PIT-400C/AI1/OUT.CV psig,PIT-400D/AI1/OUT.CV psig,SIT-400A/AI1/OUT.CV W,TE-400A/AI1/OUT.CV °C,TE-400B/AI1/OUT.CV °C
0,2025-04-30 15:14:00-04:00,100,100,6.83697605133057,6.83418655395508,0,0,6.83108711242676,6.83945560455322,57.0828247070313,6.87974977493286,6.83976554870606,6.93120050430298,6.83267688751221,100,6.80722141265869,6.83418655395508,3500,0.5,0.000954620190896,20.4173374176025,0,10,20.4173374176025,20.3473320007324,16.3138313293457,20.3677349090576,0,0,1.2086900472641,33.3904457092285,-0.607450366020203,22.8620738983154,486.903961181641,22.6699829101563,23.79150390625
1,2025-04-30 15:14:01-04:00,100,100,6.83697605133057,6.83418655395508,0,0,6.83108711242676,6.83945560455322,56.9758415222168,6.87974977493286,6.83976554870606,6.92035245895386,6.84446048736572,100,6.80722141265869,6.83418655395508,3500,0.5,0.000954620190896,20.4173374176025,0,10,20.4173374176025,20.3473320007324,16.3138313293457,20.3677349090576,0,0,1.2086900472641,33.3904457092285,-0.607450366020203,22.8620738983154,486.903961181641,22.6699829101563,23.79150390625
2,2025-04-30 15:14:02-04:00,100,100,6.83697605133057,6.83418655395508,0,0,6.83108711242676,6.81527996063232,56.4092864990234,6.86704111099243,6.82767772674561,6.92035245895386,6.81880378723145,100,6.80722141265869,6.83418655395508,3500,0.5,0.000954620190896,20.4173374176025,0,10,20.4173374176025,20.3473320007324,16.3014335632324,20.3677349090576,0,0,1.2086900472641,33.3904457092285,-0.607450366020203,22.8620738983154,486.903961181641,22.6699829101563,23.79150390625
3,2025-04-30 15:14:03-04:00,100,100,6.83697605133057,6.83418655395508,0,0,6.83108711242676,6.81527996063232,56.4092864990234,6.85309362411499,6.81466007232666,6.90795469284058,6.80786371231079,100,6.80722141265869,6.83418655395508,3500,0.5,0.000954620190896,20.4173374176025,0,10,20.4173374176025,20.3473320007324,16.3014335632324,20.3677349090576,0,0,1.2086900472641,33.3904457092285,-0.607450366020203,22.8620738983154,486.903961181641,22.6699829101563,23.79150390625
4,2025-04-30 15:14:04-04:00,100,100,6.83697605133057,6.83418655395508,0,0,6.83108711242676,6.83604621887207,56.6337699890137,6.86921072006226,6.82829761505127,6.91942262649536,6.83503484725952,100,6.80722141265869,6.83418655395508,3500,0.5,0.000954620190896,20.4173374176025,0,10,20.4173374176025,20.3473320007324,16.3014335632324,20.3677349090576,0,0,1.2086900472641,33.3904457092285,-0.607450366020203,22.8620738983154,486.903961181641,22.6699829101563,23.79150390625
5,2025-04-30 15:14:05-04:00,100,100,6.83697605133057,6.83418655395508,0,0,6.83108711242676,6.82302856445313,56.5735588073731,6.86921072006226,6.82829761505127,6.91942262649536,6.8235297203064,100,6.80722141265869,6.83418655395508,3500,0.5,0.000954620190896,20.4173374176025,0,10,20.4173374176025,20.3473320007324,16.3014335632324,20.3677349090576,0,0,1.2086900472641,33.3904457092285,-0.607450366020203,22.8791198730469,486.903961181641,22.6699829101563,23.79150390625
6,2025-04-30 15:14:06-04:00,100,100,6.83697605133057,6.83418655395508,0,0,6.83108711242676,6.82302856445313,56.5735588073731,6.86921072006226,6.82829761505127,6.91942262649536,6.8235297203064,100,6.80722141265869,6.83418655395508,3500,0.5,0.000954620190896,20.4173374176025,0,10,20.4173374176025,20.3473320007324,16.3014335632324,20.3677349090576,0,0,1.2086900472641,33.3904457092285,-0.607450366020203,22.8791198730469,486.903961181641,22.6699829101563,23.79150390625
7,2025-04-30 15:14:07-04:00,100,100,6.83697605133057,6.83418655395508,0,0,6.83108711242676,6.82302856445313,56.7062911987305,6.86921072006226,6.82829761505127,6.91942262649536,6.80875158309937,100,6.80722141265869,6.83418655395508,3500,0.5,0.000954620190896,20.4173374176025,0,10,20.4173374176025,20.3473320007324,16.2842674255371,20.3677349090576,0,0,1.2086900472641,33.3904457092285,-0.607450366020203,22.8791198730469,486.903961181641,22.6699829101563,23.79150390625
8,2025-04-30 15:14:08-04:00,100,100,6.83697605133057,6.83418655395508,0,0,6.83108711242676,6.82302856445313,56.7062911987305,6.86921072006226,6.82829761505127,6.91942262649536,6.82500600814819,100,6.80722141265869,6.83418655395508,3500,0.5,0.000954620190896,20.4173374176025,0,10,20.4173374176025,20.3473320007324,16.2842674255371,20.3677349090576,0,0,1.2086900472641,33.3904457092285,-0.607450366020203,22.8791198730469,488.677795410156,22.6699829101563,23.79150390625
9,2025-04-30 15:14:09-04:00,100,100,6.83697605133057,6.83418655395508,0,0,6.83108711242676,6.80722141265869,57.1958465576172,6.85743284225464,6.82829761505127,6.9352297782898,6.78889751434326,100,6.80722141265869,6.83418655395508,3500,0.5,0.000954620190896,20.4173374176025,0,10,20.4173374176025,20.3473320007324,16.2842674255371,20.3677349090576,0,0,1.2086900472641,33.3904457092285,-0.607450366020203,22.8660068511963,488.677795410156,22.6699829101563,23.79150390625
