Temperature (C)	Pressure (atm)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/atm)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
19.6	1	998.29	0.0010017	1.4814	1.4833	5.2379	74.91	75.382	1481.1	-0.041073	0.0010115	0.5973	liquid
19.617	1	998.29	0.0010017	1.4827	1.4845	5.2422	74.909	75.382	1481.2	-0.041071	0.0010111	0.59733	liquid
19.633	1	998.28	0.0010017	1.4839	1.4858	5.2465	74.908	75.381	1481.2	-0.041069	0.0010107	0.59736	liquid
19.65	1	998.28	0.0010017	1.4852	1.487	5.2508	74.907	75.381	1481.3	-0.041067	0.0010102	0.59739	liquid
19.667	1	998.28	0.0010017	1.4865	1.4883	5.2551	74.906	75.381	1481.3	-0.041065	0.0010098	0.59742	liquid
19.683	1	998.27	0.0010017	1.4877	1.4895	5.2594	74.905	75.381	1481.4	-0.041062	0.0010094	0.59745	liquid
19.7	1	998.27	0.0010017	1.489	1.4908	5.2637	74.904	75.381	1481.4	-0.04106	0.001009	0.59748	liquid
19.717	1	998.27	0.0010017	1.4902	1.4921	5.268	74.903	75.38	1481.5	-0.041058	0.0010086	0.59751	liquid
19.733	1	998.26	0.0010017	1.4915	1.4933	5.2723	74.901	75.38	1481.5	-0.041056	0.0010082	0.59754	liquid
19.75	1	998.26	0.0010017	1.4927	1.4946	5.2765	74.9	75.38	1481.6	-0.041054	0.0010078	0.59757	liquid
19.767	1	998.26	0.0010017	1.494	1.4958	5.2808	74.899	75.38	1481.6	-0.041052	0.0010073	0.5976	liquid
19.783	1	998.25	0.0010018	1.4953	1.4971	5.2851	74.898	75.38	1481.7	-0.041049	0.0010069	0.59763	liquid
19.8	1	998.25	0.0010018	1.4965	1.4983	5.2894	74.897	75.379	1481.7	-0.041047	0.0010065	0.59766	liquid
19.817	1	998.24	0.0010018	1.4978	1.4996	5.2937	74.896	75.379	1481.8	-0.041045	0.0010061	0.59769	liquid
19.833	1	998.24	0.0010018	1.499	1.5009	5.298	74.895	75.379	1481.8	-0.041043	0.0010057	0.59772	liquid
19.85	1	998.24	0.0010018	1.5003	1.5021	5.3023	74.894	75.379	1481.9	-0.041041	0.0010053	0.59775	liquid
19.867	1	998.23	0.0010018	1.5015	1.5034	5.3066	74.893	75.378	1481.9	-0.041039	0.0010049	0.59778	liquid
19.883	1	998.23	0.0010018	1.5028	1.5046	5.3109	74.891	75.378	1482	-0.041037	0.0010045	0.59781	liquid
19.9	1	998.23	0.0010018	1.504	1.5059	5.3151	74.89	75.378	1482	-0.041034	0.0010041	0.59784	liquid
19.917	1	998.22	0.0010018	1.5053	1.5071	5.3194	74.889	75.378	1482.1	-0.041032	0.0010036	0.59786	liquid
19.933	1	998.22	0.0010018	1.5066	1.5084	5.3237	74.888	75.378	1482.1	-0.04103	0.0010032	0.59789	liquid
19.95	1	998.22	0.0010018	1.5078	1.5096	5.328	74.887	75.377	1482.2	-0.041028	0.0010028	0.59792	liquid
19.967	1	998.21	0.0010018	1.5091	1.5109	5.3323	74.886	75.377	1482.2	-0.041026	0.0010024	0.59795	liquid
19.983	1	998.21	0.0010018	1.5103	1.5122	5.3366	74.885	75.377	1482.3	-0.041024	0.001002	0.59798	liquid
20	1	998.21	0.0010018	1.5116	1.5134	5.3409	74.884	75.377	1482.3	-0.041021	0.0010016	0.59801	liquid
20.017	1	998.2	0.0010018	1.5128	1.5147	5.3451	74.883	75.377	1482.4	-0.041019	0.0010012	0.59804	liquid
20.033	1	998.2	0.0010018	1.5141	1.5159	5.3494	74.882	75.376	1482.4	-0.041017	0.0010008	0.59807	liquid
20.05	1	998.2	0.0010018	1.5154	1.5172	5.3537	74.88	75.376	1482.5	-0.041015	0.0010004	0.5981	liquid
20.067	1	998.19	0.0010018	1.5166	1.5184	5.358	74.879	75.376	1482.6	-0.041013	0.00099996	0.59813	liquid
20.083	1	998.19	0.0010018	1.5179	1.5197	5.3623	74.878	75.376	1482.6	-0.041011	0.00099955	0.59816	liquid
20.1	1	998.19	0.0010018	1.5191	1.521	5.3666	74.877	75.376	1482.7	-0.041008	0.00099915	0.59819	liquid
20.117	1	998.18	0.0010018	1.5204	1.5222	5.3708	74.876	75.375	1482.7	-0.041006	0.00099874	0.59822	liquid
20.133	1	998.18	0.0010018	1.5216	1.5235	5.3751	74.875	75.375	1482.8	-0.041004	0.00099833	0.59825	liquid
20.15	1	998.18	0.0010018	1.5229	1.5247	5.3794	74.874	75.375	1482.8	-0.041002	0.00099793	0.59828	liquid
20.167	1	998.17	0.0010018	1.5241	1.526	5.3837	74.873	75.375	1482.9	-0.041	0.00099752	0.59831	liquid
20.183	1	998.17	0.0010018	1.5254	1.5272	5.388	74.872	75.375	1482.9	-0.040998	0.00099711	0.59834	liquid
20.2	1	998.17	0.0010018	1.5267	1.5285	5.3923	74.87	75.374	1483	-0.040996	0.00099671	0.59837	liquid
20.217	1	998.16	0.0010018	1.5279	1.5297	5.3965	74.869	75.374	1483	-0.040993	0.0009963	0.59839	liquid
20.233	1	998.16	0.0010018	1.5292	1.531	5.4008	74.868	75.374	1483.1	-0.040991	0.0009959	0.59842	liquid
20.25	1	998.16	0.0010018	1.5304	1.5323	5.4051	74.867	75.374	1483.1	-0.040989	0.00099549	0.59845	liquid
20.267	1	998.15	0.0010019	1.5317	1.5335	5.4094	74.866	75.373	1483.2	-0.040987	0.00099509	0.59848	liquid
20.283	1	998.15	0.0010019	1.5329	1.5348	5.4137	74.865	75.373	1483.2	-0.040985	0.00099468	0.59851	liquid
20.3	1	998.14	0.0010019	1.5342	1.536	5.418	74.864	75.373	1483.3	-0.040983	0.00099428	0.59854	liquid
20.317	1	998.14	0.0010019	1.5355	1.5373	5.4222	74.863	75.373	1483.3	-0.04098	0.00099388	0.59857	liquid
20.333	1	998.14	0.0010019	1.5367	1.5385	5.4265	74.862	75.373	1483.4	-0.040978	0.00099347	0.5986	liquid
20.35	1	998.13	0.0010019	1.538	1.5398	5.4308	74.86	75.372	1483.4	-0.040976	0.00099307	0.59863	liquid
20.367	1	998.13	0.0010019	1.5392	1.5411	5.4351	74.859	75.372	1483.5	-0.040974	0.00099266	0.59866	liquid
20.383	1	998.13	0.0010019	1.5405	1.5423	5.4394	74.858	75.372	1483.5	-0.040972	0.00099226	0.59869	liquid
20.4	1	998.12	0.0010019	1.5417	1.5436	5.4436	74.857	75.372	1483.6	-0.04097	0.00099186	0.59872	liquid
20.417	1	998.12	0.0010019	1.543	1.5448	5.4479	74.856	75.372	1483.6	-0.040968	0.00099146	0.59875	liquid
20.433	1	998.12	0.0010019	1.5442	1.5461	5.4522	74.855	75.371	1483.7	-0.040965	0.00099105	0.59878	liquid
20.45	1	998.11	0.0010019	1.5455	1.5473	5.4565	74.854	75.371	1483.7	-0.040963	0.00099065	0.59881	liquid
20.467	1	998.11	0.0010019	1.5468	1.5486	5.4608	74.853	75.371	1483.8	-0.040961	0.00099025	0.59883	liquid
20.483	1	998.11	0.0010019	1.548	1.5498	5.465	74.851	75.371	1483.8	-0.040959	0.00098985	0.59886	liquid
20.5	1	998.1	0.0010019	1.5493	1.5511	5.4693	74.85	75.371	1483.9	-0.040957	0.00098945	0.59889	liquid
20.517	1	998.1	0.0010019	1.5505	1.5524	5.4736	74.849	75.37	1483.9	-0.040955	0.00098905	0.59892	liquid
20.533	1	998.1	0.0010019	1.5518	1.5536	5.4779	74.848	75.37	1484	-0.040953	0.00098865	0.59895	liquid
20.55	1	998.09	0.0010019	1.553	1.5549	5.4821	74.847	75.37	1484	-0.04095	0.00098825	0.59898	liquid
20.567	1	998.09	0.0010019	1.5543	1.5561	5.4864	74.846	75.37	1484.1	-0.040948	0.00098785	0.59901	liquid
20.583	1	998.08	0.0010019	1.5556	1.5574	5.4907	74.845	75.37	1484.1	-0.040946	0.00098745	0.59904	liquid
20.6	1	998.08	0.0010019	1.5568	1.5586	5.495	74.844	75.369	1484.2	-0.040944	0.00098705	0.59907	liquid
20.617	1	998.08	0.0010019	1.5581	1.5599	5.4992	74.843	75.369	1484.2	-0.040942	0.00098665	0.5991	liquid
20.633	1	998.07	0.0010019	1.5593	1.5612	5.5035	74.841	75.369	1484.3	-0.04094	0.00098625	0.59913	liquid
20.65	1	998.07	0.0010019	1.5606	1.5624	5.5078	74.84	75.369	1484.3	-0.040938	0.00098585	0.59916	liquid
20.667	1	998.07	0.0010019	1.5618	1.5637	5.5121	74.839	75.369	1484.4	-0.040935	0.00098545	0.59919	liquid
20.683	1	998.06	0.0010019	1.5631	1.5649	5.5163	74.838	75.368	1484.4	-0.040933	0.00098505	0.59921	liquid
20.7	1	998.06	0.0010019	1.5643	1.5662	5.5206	74.837	75.368	1484.5	-0.040931	0.00098466	0.59924	liquid
20.717	1	998.06	0.0010019	1.5656	1.5674	5.5249	74.836	75.368	1484.5	-0.040929	0.00098426	0.59927	liquid
20.733	1	998.05	0.001002	1.5669	1.5687	5.5292	74.835	75.368	1484.6	-0.040927	0.00098386	0.5993	liquid
20.75	1	998.05	0.001002	1.5681	1.5699	5.5334	74.834	75.368	1484.6	-0.040925	0.00098346	0.59933	liquid
20.767	1	998.05	0.001002	1.5694	1.5712	5.5377	74.832	75.368	1484.7	-0.040923	0.00098307	0.59936	liquid
20.783	1	998.04	0.001002	1.5706	1.5725	5.542	74.831	75.367	1484.7	-0.04092	0.00098267	0.59939	liquid
20.8	1	998.04	0.001002	1.5719	1.5737	5.5463	74.83	75.367	1484.8	-0.040918	0.00098227	0.59942	liquid
20.817	1	998.04	0.001002	1.5731	1.575	5.5505	74.829	75.367	1484.8	-0.040916	0.00098188	0.59945	liquid
20.833	1	998.03	0.001002	1.5744	1.5762	5.5548	74.828	75.367	1484.9	-0.040914	0.00098148	0.59948	liquid
20.85	1	998.03	0.001002	1.5757	1.5775	5.5591	74.827	75.367	1484.9	-0.040912	0.00098109	0.59951	liquid
20.867	1	998.02	0.001002	1.5769	1.5787	5.5634	74.826	75.366	1485	-0.04091	0.00098069	0.59953	liquid
20.883	1	998.02	0.001002	1.5782	1.58	5.5676	74.825	75.366	1485	-0.040908	0.0009803	0.59956	liquid
20.9	1	998.02	0.001002	1.5794	1.5812	5.5719	74.823	75.366	1485.1	-0.040906	0.0009799	0.59959	liquid
20.917	1	998.01	0.001002	1.5807	1.5825	5.5762	74.822	75.366	1485.1	-0.040903	0.00097951	0.59962	liquid
20.933	1	998.01	0.001002	1.5819	1.5838	5.5804	74.821	75.366	1485.2	-0.040901	0.00097911	0.59965	liquid
20.95	1	998.01	0.001002	1.5832	1.585	5.5847	74.82	75.365	1485.2	-0.040899	0.00097872	0.59968	liquid
20.967	1	998	0.001002	1.5844	1.5863	5.589	74.819	75.365	1485.3	-0.040897	0.00097832	0.59971	liquid
20.983	1	998	0.001002	1.5857	1.5875	5.5933	74.818	75.365	1485.3	-0.040895	0.00097793	0.59974	liquid
21	1	998	0.001002	1.587	1.5888	5.5975	74.817	75.365	1485.4	-0.040893	0.00097754	0.59977	liquid
21.017	1	997.99	0.001002	1.5882	1.59	5.6018	74.816	75.365	1485.4	-0.040891	0.00097714	0.5998	liquid
21.033	1	997.99	0.001002	1.5895	1.5913	5.6061	74.814	75.364	1485.5	-0.040888	0.00097675	0.59982	liquid
21.05	1	997.98	0.001002	1.5907	1.5926	5.6103	74.813	75.364	1485.5	-0.040886	0.00097636	0.59985	liquid
21.067	1	997.98	0.001002	1.592	1.5938	5.6146	74.812	75.364	1485.6	-0.040884	0.00097597	0.59988	liquid
21.083	1	997.98	0.001002	1.5932	1.5951	5.6189	74.811	75.364	1485.6	-0.040882	0.00097557	0.59991	liquid
21.1	1	997.97	0.001002	1.5945	1.5963	5.6231	74.81	75.364	1485.7	-0.04088	0.00097518	0.59994	liquid
21.117	1	997.97	0.001002	1.5957	1.5976	5.6274	74.809	75.363	1485.7	-0.040878	0.00097479	0.59997	liquid
21.133	1	997.97	0.001002	1.597	1.5988	5.6317	74.808	75.363	1485.8	-0.040876	0.0009744	0.6	liquid
21.15	1	997.96	0.001002	1.5983	1.6001	5.6359	74.807	75.363	1485.8	-0.040874	0.00097401	0.60003	liquid
21.167	1	997.96	0.001002	1.5995	1.6013	5.6402	74.805	75.363	1485.9	-0.040871	0.00097362	0.60006	liquid
21.183	1	997.96	0.001002	1.6008	1.6026	5.6445	74.804	75.363	1485.9	-0.040869	0.00097323	0.60009	liquid
21.2	1	997.95	0.0010021	1.602	1.6039	5.6488	74.803	75.363	1486	-0.040867	0.00097284	0.60011	liquid
21.217	1	997.95	0.0010021	1.6033	1.6051	5.653	74.802	75.362	1486	-0.040865	0.00097245	0.60014	liquid
21.233	1	997.94	0.0010021	1.6045	1.6064	5.6573	74.801	75.362	1486.1	-0.040863	0.00097206	0.60017	liquid
21.25	1	997.94	0.0010021	1.6058	1.6076	5.6616	74.8	75.362	1486.1	-0.040861	0.00097167	0.6002	liquid
21.267	1	997.94	0.0010021	1.6071	1.6089	5.6658	74.799	75.362	1486.2	-0.040859	0.00097128	0.60023	liquid
21.283	1	997.93	0.0010021	1.6083	1.6101	5.6701	74.798	75.362	1486.2	-0.040857	0.00097089	0.60026	liquid
21.3	1	997.93	0.0010021	1.6096	1.6114	5.6743	74.796	75.361	1486.3	-0.040854	0.0009705	0.60029	liquid
21.317	1	997.93	0.0010021	1.6108	1.6126	5.6786	74.795	75.361	1486.3	-0.040852	0.00097011	0.60032	liquid
21.333	1	997.92	0.0010021	1.6121	1.6139	5.6829	74.794	75.361	1486.4	-0.04085	0.00096972	0.60035	liquid
21.35	1	997.92	0.0010021	1.6133	1.6152	5.6871	74.793	75.361	1486.4	-0.040848	0.00096934	0.60037	liquid
21.367	1	997.92	0.0010021	1.6146	1.6164	5.6914	74.792	75.361	1486.5	-0.040846	0.00096895	0.6004	liquid
21.383	1	997.91	0.0010021	1.6158	1.6177	5.6957	74.791	75.361	1486.5	-0.040844	0.00096856	0.60043	liquid
21.4	1	997.91	0.0010021	1.6171	1.6189	5.6999	74.79	75.36	1486.6	-0.040842	0.00096817	0.60046	liquid
21.417	1	997.9	0.0010021	1.6184	1.6202	5.7042	74.789	75.36	1486.6	-0.04084	0.00096779	0.60049	liquid
21.433	1	997.9	0.0010021	1.6196	1.6214	5.7085	74.787	75.36	1486.7	-0.040837	0.0009674	0.60052	liquid
21.45	1	997.9	0.0010021	1.6209	1.6227	5.7127	74.786	75.36	1486.7	-0.040835	0.00096701	0.60055	liquid
21.467	1	997.89	0.0010021	1.6221	1.624	5.717	74.785	75.36	1486.8	-0.040833	0.00096663	0.60058	liquid
21.483	1	997.89	0.0010021	1.6234	1.6252	5.7213	74.784	75.359	1486.8	-0.040831	0.00096624	0.6006	liquid
21.5	1	997.89	0.0010021	1.6246	1.6265	5.7255	74.783	75.359	1486.9	-0.040829	0.00096585	0.60063	liquid
21.517	1	997.88	0.0010021	1.6259	1.6277	5.7298	74.782	75.359	1486.9	-0.040827	0.00096547	0.60066	liquid
21.533	1	997.88	0.0010021	1.6271	1.629	5.734	74.781	75.359	1487	-0.040825	0.00096508	0.60069	liquid
21.55	1	997.87	0.0010021	1.6284	1.6302	5.7383	74.779	75.359	1487	-0.040823	0.0009647	0.60072	liquid
21.567	1	997.87	0.0010021	1.6297	1.6315	5.7426	74.778	75.359	1487.1	-0.04082	0.00096431	0.60075	liquid
21.583	1	997.87	0.0010021	1.6309	1.6327	5.7468	74.777	75.358	1487.1	-0.040818	0.00096393	0.60078	liquid
21.6	1	997.86	0.0010021	1.6322	1.634	5.7511	74.776	75.358	1487.2	-0.040816	0.00096355	0.60081	liquid
21.617	1	997.86	0.0010021	1.6334	1.6353	5.7554	74.775	75.358	1487.2	-0.040814	0.00096316	0.60083	liquid
21.633	1	997.86	0.0010021	1.6347	1.6365	5.7596	74.774	75.358	1487.3	-0.040812	0.00096278	0.60086	liquid
21.65	1	997.85	0.0010022	1.6359	1.6378	5.7639	74.773	75.358	1487.3	-0.04081	0.00096239	0.60089	liquid
21.667	1	997.85	0.0010022	1.6372	1.639	5.7681	74.772	75.357	1487.4	-0.040808	0.00096201	0.60092	liquid
21.683	1	997.84	0.0010022	1.6385	1.6403	5.7724	74.77	75.357	1487.4	-0.040806	0.00096163	0.60095	liquid
21.7	1	997.84	0.0010022	1.6397	1.6415	5.7767	74.769	75.357	1487.4	-0.040804	0.00096124	0.60098	liquid
21.717	1	997.84	0.0010022	1.641	1.6428	5.7809	74.768	75.357	1487.5	-0.040801	0.00096086	0.60101	liquid
21.733	1	997.83	0.0010022	1.6422	1.644	5.7852	74.767	75.357	1487.5	-0.040799	0.00096048	0.60104	liquid
21.75	1	997.83	0.0010022	1.6435	1.6453	5.7894	74.766	75.357	1487.6	-0.040797	0.0009601	0.60106	liquid
21.767	1	997.83	0.0010022	1.6447	1.6466	5.7937	74.765	75.356	1487.6	-0.040795	0.00095972	0.60109	liquid
21.783	1	997.82	0.0010022	1.646	1.6478	5.7979	74.764	75.356	1487.7	-0.040793	0.00095933	0.60112	liquid
21.8	1	997.82	0.0010022	1.6472	1.6491	5.8022	74.762	75.356	1487.7	-0.040791	0.00095895	0.60115	liquid
21.817	1	997.81	0.0010022	1.6485	1.6503	5.8065	74.761	75.356	1487.8	-0.040789	0.00095857	0.60118	liquid
21.833	1	997.81	0.0010022	1.6498	1.6516	5.8107	74.76	75.356	1487.8	-0.040787	0.00095819	0.60121	liquid
21.85	1	997.81	0.0010022	1.651	1.6528	5.815	74.759	75.356	1487.9	-0.040785	0.00095781	0.60124	liquid
21.867	1	997.8	0.0010022	1.6523	1.6541	5.8192	74.758	75.355	1487.9	-0.040782	0.00095743	0.60127	liquid
21.883	1	997.8	0.0010022	1.6535	1.6554	5.8235	74.757	75.355	1488	-0.04078	0.00095705	0.60129	liquid
21.9	1	997.8	0.0010022	1.6548	1.6566	5.8277	74.756	75.355	1488	-0.040778	0.00095667	0.60132	liquid
21.917	1	997.79	0.0010022	1.656	1.6579	5.832	74.754	75.355	1488.1	-0.040776	0.00095629	0.60135	liquid
21.933	1	997.79	0.0010022	1.6573	1.6591	5.8363	74.753	75.355	1488.1	-0.040774	0.00095591	0.60138	liquid
21.95	1	997.78	0.0010022	1.6585	1.6604	5.8405	74.752	75.354	1488.2	-0.040772	0.00095553	0.60141	liquid
21.967	1	997.78	0.0010022	1.6598	1.6616	5.8448	74.751	75.354	1488.2	-0.04077	0.00095515	0.60144	liquid
21.983	1	997.78	0.0010022	1.6611	1.6629	5.849	74.75	75.354	1488.3	-0.040768	0.00095477	0.60147	liquid
22	1	997.77	0.0010022	1.6623	1.6641	5.8533	74.749	75.354	1488.3	-0.040766	0.0009544	0.60149	liquid
22.017	1	997.77	0.0010022	1.6636	1.6654	5.8575	74.748	75.354	1488.4	-0.040763	0.00095402	0.60152	liquid
22.033	1	997.77	0.0010022	1.6648	1.6667	5.8618	74.747	75.354	1488.4	-0.040761	0.00095364	0.60155	liquid
22.05	1	997.76	0.0010022	1.6661	1.6679	5.866	74.745	75.353	1488.5	-0.040759	0.00095326	0.60158	liquid
22.067	1	997.76	0.0010022	1.6673	1.6692	5.8703	74.744	75.353	1488.5	-0.040757	0.00095288	0.60161	liquid
22.083	1	997.75	0.0010023	1.6686	1.6704	5.8746	74.743	75.353	1488.6	-0.040755	0.00095251	0.60164	liquid
22.1	1	997.75	0.0010023	1.6698	1.6717	5.8788	74.742	75.353	1488.6	-0.040753	0.00095213	0.60166	liquid
22.117	1	997.75	0.0010023	1.6711	1.6729	5.8831	74.741	75.353	1488.7	-0.040751	0.00095175	0.60169	liquid
22.133	1	997.74	0.0010023	1.6724	1.6742	5.8873	74.74	75.353	1488.7	-0.040749	0.00095138	0.60172	liquid
22.15	1	997.74	0.0010023	1.6736	1.6754	5.8916	74.739	75.352	1488.8	-0.040747	0.000951	0.60175	liquid
22.167	1	997.74	0.0010023	1.6749	1.6767	5.8958	74.737	75.352	1488.8	-0.040744	0.00095063	0.60178	liquid
22.183	1	997.73	0.0010023	1.6761	1.678	5.9001	74.736	75.352	1488.9	-0.040742	0.00095025	0.60181	liquid
22.2	1	997.73	0.0010023	1.6774	1.6792	5.9043	74.735	75.352	1488.9	-0.04074	0.00094987	0.60184	liquid
22.217	1	997.72	0.0010023	1.6786	1.6805	5.9086	74.734	75.352	1489	-0.040738	0.0009495	0.60186	liquid
22.233	1	997.72	0.0010023	1.6799	1.6817	5.9128	74.733	75.352	1489	-0.040736	0.00094912	0.60189	liquid
22.25	1	997.72	0.0010023	1.6812	1.683	5.9171	74.732	75.351	1489.1	-0.040734	0.00094875	0.60192	liquid
22.267	1	997.71	0.0010023	1.6824	1.6842	5.9213	74.731	75.351	1489.1	-0.040732	0.00094837	0.60195	liquid
22.283	1	997.71	0.0010023	1.6837	1.6855	5.9256	74.729	75.351	1489.1	-0.04073	0.000948	0.60198	liquid
22.3	1	997.7	0.0010023	1.6849	1.6867	5.9298	74.728	75.351	1489.2	-0.040728	0.00094763	0.60201	liquid
22.317	1	997.7	0.0010023	1.6862	1.688	5.9341	74.727	75.351	1489.2	-0.040726	0.00094725	0.60203	liquid
22.333	1	997.7	0.0010023	1.6874	1.6893	5.9383	74.726	75.351	1489.3	-0.040723	0.00094688	0.60206	liquid
22.35	1	997.69	0.0010023	1.6887	1.6905	5.9426	74.725	75.35	1489.3	-0.040721	0.0009465	0.60209	liquid
22.367	1	997.69	0.0010023	1.6899	1.6918	5.9468	74.724	75.35	1489.4	-0.040719	0.00094613	0.60212	liquid
22.383	1	997.69	0.0010023	1.6912	1.693	5.9511	74.722	75.35	1489.4	-0.040717	0.00094576	0.60215	liquid
22.4	1	997.68	0.0010023	1.6925	1.6943	5.9553	74.721	75.35	1489.5	-0.040715	0.00094539	0.60218	liquid
22.417	1	997.68	0.0010023	1.6937	1.6955	5.9596	74.72	75.35	1489.5	-0.040713	0.00094501	0.60221	liquid
22.433	1	997.67	0.0010023	1.695	1.6968	5.9638	74.719	75.35	1489.6	-0.040711	0.00094464	0.60223	liquid
22.45	1	997.67	0.0010023	1.6962	1.6981	5.9681	74.718	75.349	1489.6	-0.040709	0.00094427	0.60226	liquid
22.467	1	997.67	0.0010023	1.6975	1.6993	5.9723	74.717	75.349	1489.7	-0.040707	0.0009439	0.60229	liquid
22.483	1	997.66	0.0010023	1.6987	1.7006	5.9766	74.716	75.349	1489.7	-0.040705	0.00094353	0.60232	liquid
22.5	1	997.66	0.0010023	1.7	1.7018	5.9808	74.714	75.349	1489.8	-0.040702	0.00094315	0.60235	liquid
22.517	1	997.65	0.0010024	1.7012	1.7031	5.9851	74.713	75.349	1489.8	-0.0407	0.00094278	0.60238	liquid
22.533	1	997.65	0.0010024	1.7025	1.7043	5.9893	74.712	75.349	1489.9	-0.040698	0.00094241	0.6024	liquid
22.55	1	997.65	0.0010024	1.7038	1.7056	5.9936	74.711	75.348	1489.9	-0.040696	0.00094204	0.60243	liquid
22.567	1	997.64	0.0010024	1.705	1.7068	5.9978	74.71	75.348	1490	-0.040694	0.00094167	0.60246	liquid
22.583	1	997.64	0.0010024	1.7063	1.7081	6.0021	74.709	75.348	1490	-0.040692	0.0009413	0.60249	liquid
22.6	1	997.64	0.0010024	1.7075	1.7094	6.0063	74.708	75.348	1490.1	-0.04069	0.00094093	0.60252	liquid
22.617	1	997.63	0.0010024	1.7088	1.7106	6.0106	74.706	75.348	1490.1	-0.040688	0.00094056	0.60255	liquid
22.633	1	997.63	0.0010024	1.71	1.7119	6.0148	74.705	75.348	1490.2	-0.040686	0.00094019	0.60257	liquid
22.65	1	997.62	0.0010024	1.7113	1.7131	6.019	74.704	75.347	1490.2	-0.040684	0.00093982	0.6026	liquid
22.667	1	997.62	0.0010024	1.7125	1.7144	6.0233	74.703	75.347	1490.2	-0.040682	0.00093946	0.60263	liquid
22.683	1	997.62	0.0010024	1.7138	1.7156	6.0275	74.702	75.347	1490.3	-0.040679	0.00093909	0.60266	liquid
22.7	1	997.61	0.0010024	1.7151	1.7169	6.0318	74.701	75.347	1490.3	-0.040677	0.00093872	0.60269	liquid
22.717	1	997.61	0.0010024	1.7163	1.7181	6.036	74.7	75.347	1490.4	-0.040675	0.00093835	0.60271	liquid
22.733	1	997.6	0.0010024	1.7176	1.7194	6.0403	74.698	75.347	1490.4	-0.040673	0.00093798	0.60274	liquid
22.75	1	997.6	0.0010024	1.7188	1.7207	6.0445	74.697	75.347	1490.5	-0.040671	0.00093761	0.60277	liquid
22.767	1	997.6	0.0010024	1.7201	1.7219	6.0488	74.696	75.346	1490.5	-0.040669	0.00093725	0.6028	liquid
22.783	1	997.59	0.0010024	1.7213	1.7232	6.053	74.695	75.346	1490.6	-0.040667	0.00093688	0.60283	liquid
22.8	1	997.59	0.0010024	1.7226	1.7244	6.0572	74.694	75.346	1490.6	-0.040665	0.00093651	0.60286	liquid
22.817	1	997.58	0.0010024	1.7238	1.7257	6.0615	74.693	75.346	1490.7	-0.040663	0.00093615	0.60288	liquid
22.833	1	997.58	0.0010024	1.7251	1.7269	6.0657	74.691	75.346	1490.7	-0.040661	0.00093578	0.60291	liquid
22.85	1	997.58	0.0010024	1.7264	1.7282	6.07	74.69	75.346	1490.8	-0.040659	0.00093541	0.60294	liquid
22.867	1	997.57	0.0010024	1.7276	1.7294	6.0742	74.689	75.345	1490.8	-0.040656	0.00093505	0.60297	liquid
22.883	1	997.57	0.0010024	1.7289	1.7307	6.0785	74.688	75.345	1490.9	-0.040654	0.00093468	0.603	liquid
22.9	1	997.57	0.0010024	1.7301	1.732	6.0827	74.687	75.345	1490.9	-0.040652	0.00093431	0.60303	liquid
22.917	1	997.56	0.0010024	1.7314	1.7332	6.0869	74.686	75.345	1491	-0.04065	0.00093395	0.60305	liquid
22.933	1	997.56	0.0010024	1.7326	1.7345	6.0912	74.685	75.345	1491	-0.040648	0.00093358	0.60308	liquid
22.95	1	997.55	0.0010025	1.7339	1.7357	6.0954	74.683	75.345	1491.1	-0.040646	0.00093322	0.60311	liquid
22.967	1	997.55	0.0010025	1.7352	1.737	6.0997	74.682	75.344	1491.1	-0.040644	0.00093285	0.60314	liquid
22.983	1	997.55	0.0010025	1.7364	1.7382	6.1039	74.681	75.344	1491.1	-0.040642	0.00093249	0.60317	liquid
23	1	997.54	0.0010025	1.7377	1.7395	6.1081	74.68	75.344	1491.2	-0.04064	0.00093213	0.60319	liquid
23.017	1	997.54	0.0010025	1.7389	1.7407	6.1124	74.679	75.344	1491.2	-0.040638	0.00093176	0.60322	liquid
23.033	1	997.53	0.0010025	1.7402	1.742	6.1166	74.678	75.344	1491.3	-0.040636	0.0009314	0.60325	liquid
23.05	1	997.53	0.0010025	1.7414	1.7433	6.1209	74.676	75.344	1491.3	-0.040633	0.00093103	0.60328	liquid
23.067	1	997.53	0.0010025	1.7427	1.7445	6.1251	74.675	75.344	1491.4	-0.040631	0.00093067	0.60331	liquid
23.083	1	997.52	0.0010025	1.7439	1.7458	6.1293	74.674	75.343	1491.4	-0.040629	0.00093031	0.60333	liquid
23.1	1	997.52	0.0010025	1.7452	1.747	6.1336	74.673	75.343	1491.5	-0.040627	0.00092994	0.60336	liquid
23.117	1	997.51	0.0010025	1.7465	1.7483	6.1378	74.672	75.343	1491.5	-0.040625	0.00092958	0.60339	liquid
23.133	1	997.51	0.0010025	1.7477	1.7495	6.1421	74.671	75.343	1491.6	-0.040623	0.00092922	0.60342	liquid
23.15	1	997.51	0.0010025	1.749	1.7508	6.1463	74.669	75.343	1491.6	-0.040621	0.00092886	0.60345	liquid
23.167	1	997.5	0.0010025	1.7502	1.7521	6.1505	74.668	75.343	1491.7	-0.040619	0.0009285	0.60347	liquid
